#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_103	3642644	605	N	N	1	*	103
contig_50	2977866	601	N	N	1	*	50,63,-64,-63
contig_54	2097893	603	N	N	1	*	-60,54,99,98,99
contig_36	1477324	566	N	N	1	*	36,*
contig_2	1192795	588	N	N	1	*	2,20,21,-20
contig_6	970254	592	N	N	1	*	6,100,-101,-100
contig_11	854726	610	N	N	1	*	11,1
contig_105	431331	572	N	N	1	*	-111,94,-111,94,-111,105
contig_95	402480	578	N	N	1	*	95,*
contig_109	393616	544	N	N	1	*	109,87,-88,-87
contig_106	371877	526	N	N	1	*	106,*
contig_104	356277	598	N	N	1	*	104
contig_5	316880	572	N	N	1	*	-3,4,-3,5
contig_30	216507	594	N	N	1	*	30,32,-33,32,-33,32,-33,32
contig_53	104662	581	Y	N	1	*	53
contig_40	103990	296	N	N	1	*	40,*
contig_110	89589	518	N	N	1	*	110,90,-66,*
contig_43	87042	269	N	N	1	*	*,43,-45
contig_59	75019	526	N	N	1	*	59
contig_39	69873	366	N	N	1	*	39,*
contig_108	69487	644	N	N	1	*	108
contig_96	64718	162	N	N	1	*	*,96,*
contig_83	57081	274	N	N	1	*	*,83,*
contig_41	54284	390	N	N	1	*	41
contig_37	38156	366	N	Y	1	32	*,37,*
contig_31	37765	188	N	N	1	*	31
contig_84	37196	460	N	Y	1	54	*,84,*
contig_62	35929	196	N	Y	1	42	*,62,*
contig_78	35441	477	N	N	2	*	76,77,78,-77,-76,77
contig_35	31089	293	N	N	1	*	35
contig_1	23620	198	N	Y	1	*	1
contig_97	23190	300	N	Y	1	*	*,97
contig_58	19751	1024	N	N	2	*	58,60
contig_13	17493	626	N	Y	1	20	*,13,*
contig_93	17383	470	N	N	2	*	*,93,*
contig_89	17094	192	N	N	1	*	*,89,*
contig_102	15384	242	N	Y	1	24	*,102,*
contig_48	13476	368	N	Y	1	36	*,48,*
contig_57	13087	343	N	N	1	*	*,57,*
contig_44	10910	334	N	N	1	*	*,44,*
contig_27	9981	186	N	Y	1	30	*,27,*
contig_69	9643	660	N	Y	1	46	*,69,*
contig_34	4646	154	N	N	1	*	34
contig_74	3760	126	N	Y	1	48	*,74,*
contig_71	3705	162	N	N	162	*	*,71,*
contig_19	3130	200	N	N	200	*	*,19,*
contig_42	2513	218	N	N	1	*	42
contig_15	2389	120	N	N	120	*	*,15,*
